Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
Voyah,Free,18200000,2023,Алматы,кроссовер,1.5,автомат,,полный привод,слева,черный,Да
Li,L9,30500000,2023,Алматы,кроссовер,1.5,автомат,,полный привод,слева,черный,Нет
Volkswagen,ID.4,14200000,2023,Алматы,кроссовер,,автомат,,задний привод,слева,белый,Нет
Renault,Duster,3970000,2013,Алматы,кроссовер,2,автомат,303593,передний привод,слева,коричневый,Да
Kia,K5,15000000,2020,Алматы,седан,2,автомат,40000,передний привод,слева,черный металлик,Да
Toyota,Camry,14660000,2018,Алматы,седан,2.5,автомат,93148,передний привод,слева,белый,Да
Mitsubishi,Pajero,6500000,2006,Алматы,внедорожник,3,автомат,194000,полный привод,слева,золотистый металлик,Да
Toyota,Camry,8100000,2010,Алматы,седан,2.5,автомат,223000,передний привод,слева,черный,Да
Toyota,Camry,5500000,2007,Алматы,седан,2.4,автомат,,передний привод,слева,черный,Да
Toyota,Tundra,27000000,2007,Алматы,пикап,5.7,автомат,289620,полный привод,слева,,Да
Toyota,RAV 4,23000000,2022,Алматы,кроссовер,2,вариатор,6700,полный привод,слева,серый,Да
Zeekr,X,15650000,2023,Алматы,кроссовер,,автомат,100,полный привод,слева,,Да
Volkswagen,Touareg,35000000,2020,Алматы,кроссовер,3,автомат,50000,полный привод,слева,черный,Да
Mazda,6,8100000,2015,Алматы,седан,2.5,автомат,154000,передний привод,слева,коричневый металлик,Да
Kia,Sorento,23500000,2022,Алматы,кроссовер,2.5,автомат,9800,передний привод,слева,черный металлик,Да
Toyota,Camry,13500000,2016,Алматы,седан,2.5,автомат,150000,передний привод,слева,белый металлик,Да
Toyota,Harrier,7900000,2007,Алматы,кроссовер,3.5,автомат,124000,полный привод,справа,,Нет
Mercedes-Benz,S 500,8700000,2005,Алматы,седан,5.5,автомат,250000,задний привод,слева,голубой металлик,Да
ВАЗ (Lada),2115 (седан),900000,2006,Алматы,седан,1.5,механика,,передний привод,слева,,Да
Mitsubishi,Delica,4000000,1996,Алматы,минивэн,2.8,автомат,180,полный привод,справа,серый металлик,Да
Mazda,Bongo Friendee,1900000,1996,Каскелен,минивэн,2.5,автомат,,полный привод,справа,серебристый металлик,Да
Toyota,Aristo,2800000,1996,Алматы,седан,3,автомат,270000,задний привод,справа,серебристый металлик,Да
ВАЗ (Lada),2114 (хэтчбек),1680000,2013,Алматы,хэтчбек,1.6,механика,,передний привод,слева,,Да
Daewoo,Nexia,800000,1999,Алматы,седан,1.5,механика,,передний привод,слева,белый,Да
Subaru,Forester,3000000,1998,Алматы,кроссовер,2,автомат,,полный привод,слева,белый металлик,Да
Kia,K5,16500000,2020,Алматы,седан,1.6,автомат,17000,передний привод,слева,белый металлик,Да
Toyota,Camry,10500000,2016,Алматы,седан,2.5,автомат,94000,передний привод,слева,белый,Да
Mitsubishi,Xpander Cross,12500000,2023,Алматы,кроссовер,1.5,автомат,,передний привод,слева,,Да
Mitsubishi,Pajero,9000000,2007,Алматы,внедорожник,3,автомат,167000,полный привод,слева,черный металлик,Да
ВАЗ (Lada),2114 (хэтчбек),1550000,2013,Алматы,хэтчбек,1.6,механика,,передний привод,слева,белый металлик,Да
Toyota,Estima,6000000,2006,Алматы,минивэн,2.4,вариатор,203000,передний привод,справа,белый металлик,Да
Hyundai,Accent,9500000,2021,Алматы,седан,1.6,автомат,33000,передний привод,слева,серебристый металлик,Да
Lexus,RX 350,34000000,2022,Алматы,кроссовер,3.5,автомат,8000,полный привод,слева,,Да
Volkswagen,Polo,4500000,2015,Алматы,седан,1.6,механика,238000,передний привод,слева,серебристый,Да
Lexus,RX 300,26500000,2018,Алматы,кроссовер,2,автомат,71000,полный привод,слева,серебристый металлик,Да
BMW,X7,59500000,2021,Алматы,кроссовер,3,автомат,24400,полный привод,слева,белый,Да
Mitsubishi,Outlander,15500000,2023,Алматы,кроссовер,2.5,вариатор,8000,передний привод,слева,серый металлик,Да
Hyundai,Elantra,7200000,2014,Алматы,седан,1.6,автомат,,передний привод,слева,белый металлик,Да
Suzuki,Baleno,9000000,2022,Алматы,хэтчбек,1,автомат,5000,передний привод,слева,серый,Да
Toyota,RAV 4,10800000,2015,Алматы,кроссовер,2,автомат,300000,полный привод,слева,черный металлик,Да
BMW,X6,10000000,2008,Алматы,кроссовер,3,автомат,224000,полный привод,слева,серый,Да
Zeekr,X,14500000,2023,Алматы,кроссовер,,автомат,10,полный привод,слева,белый металлик,Да
Nissan,Qashqai,12000000,2021,Алматы,кроссовер,2,вариатор,45000,передний привод,слева,красный,Да
Toyota,Camry,4700000,2003,Алматы,седан,2.4,автомат,170000,передний привод,справа,серебристый,Нет
Toyota,Highlander,17900000,2015,Алматы,кроссовер,3.5,автомат,,полный привод,слева,белый металлик,Да
Lexus,RX 350,12700000,2010,Алматы,кроссовер,3.5,автомат,199392,полный привод,слева,белый металлик,Да
Mercedes-Benz,V 200,15500000,2015,Алматы,минивэн,1.6,механика,337000,передний привод,слева,,Да
Zeekr,X,16850000,2023,Алматы,кроссовер,,автомат,,полный привод,слева,,Да
Avatr,11,26000000,2023,Алматы,кроссовер,,автомат,15,полный привод,слева,белый,Да
Daewoo,Nexia,2700000,2009,Алматы,седан,1.6,механика,191000,передний привод,слева,серый металлик,Да
Nissan,Almera,4490000,2014,Алматы,седан,1.6,автомат,120000,передний привод,слева,белый,Да
Toyota,Land Cruiser Prado,38500000,2022,Алматы,внедорожник,4,автомат,33000,полный привод,слева,черный металлик,Да
Zeekr,001,25000000,2023,Алматы,лифтбек,,автомат,,полный привод,слева,,Нет
Lotus,Eletre,68000000,2023,Алматы,кроссовер,,автомат,,полный привод,слева,,Да
Mitsubishi,Montero Sport,5700000,2000,Алматы,внедорожник,3,автомат,295,полный привод,слева,бордовый металлик,Да
Toyota,Corolla,14600000,2023,Алматы,седан,1.6,вариатор,1200,передний привод,слева,,Да
Daewoo,Nexia,1800000,2011,Алматы,седан,1.5,механика,,передний привод,слева,белый,Да
Subaru,Forester,13150000,2021,Алматы,кроссовер,2.5,вариатор,29000,полный привод,слева,серебристый металлик,Да
Haval,F7,13000000,2021,Алматы,кроссовер,2,робот,70000,полный привод,слева,серый металлик,Да
Mercedes-Benz,G 55 AMG,27000000,2008,Алматы,внедорожник,5.5,автомат,138000,полный привод,слева,черный,Да
Toyota,RAV 4,13400000,2017,Алматы,кроссовер,2,вариатор,105000,полный привод,слева,,Да
Audi,100,7500000,1987,Алматы,седан,2.2,механика,101000,передний привод,слева,синий,Да
Toyota,Camry,15700000,2019,Алматы,седан,2.5,автомат,105000,передний привод,слева,черный,Да
BMW,X5,12790000,2013,Алматы,кроссовер,3,автомат,,полный привод,слева,серый металлик,Да
Mitsubishi,Outlander,14000000,2021,Алматы,кроссовер,2.5,вариатор,9850,полный привод,слева,черный металлик,Да
Zeekr,001,26000000,2023,Алматы,лифтбек,,автомат,,полный привод,слева,черный,Да
Kia,K8,18500000,2021,Алматы,седан,2.5,автомат,29000,передний привод,слева,черный,Да
Toyota,FJ Cruiser,12700000,2007,Алматы,внедорожник,4,автомат,273360,полный привод,слева,,Да
Audi,100,850000,1990,Алматы,седан,2.3,механика,250000,передний привод,слева,серый,Да
Mercedes-Benz,G 63 AMG,55000000,2015,Алматы,внедорожник,5.5,автомат,32000,полный привод,слева,черный,Да
Hyundai,Santa Fe,20800000,2023,Алматы,кроссовер,2.5,автомат,25,полный привод,слева,серебристый металлик,Да
Kia,K8,21700000,2021,Алматы,седан,2.5,автомат,9222,передний привод,слева,серый,Да
Tesla,Model Y,20890000,2023,Алматы,кроссовер,,автомат,,полный привод,слева,черный,Да
Li,L9,30500000,2023,Алматы,кроссовер,1.5,автомат,,полный привод,слева,золотистый,Да
Infiniti,QX55,24490000,2021,Алматы,кроссовер,2,вариатор,,полный привод,слева,,Да
BMW,728,4760000,1998,Алматы,седан,2.8,автомат,230000,задний привод,слева,зеленый металлик,Да
Toyota,Land Cruiser,12310000,2006,Алматы,внедорожник,4.7,автомат,282283,полный привод,слева,черный,Да
