Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
Toyota,Carina E,2000000,1994,Алматы,лифтбек,1.8,механика,360000,передний привод,слева,зеленый,Да
Lexus,ES 250,21000000,2020,Алматы,седан,2.5,автомат,28100,передний привод,слева,серый,Да
Hyundai,Santa Fe,26400000,2023,Алматы,кроссовер,2.5,автомат,,полный привод,слева,,Нет
Mercedes-Benz,E 230,1600000,1992,Алматы,универсал,2.3,механика,7777,задний привод,слева,белый металлик,Да
Subaru,Forester,4100000,1998,Алматы,кроссовер,2,механика,,полный привод,справа,белый,Да
Lexus,RX 300,4650000,2000,Алматы,кроссовер,3,автомат,300000,полный привод,слева,жёлтый металлик,Да
Honda,CR-V,3700000,1998,Алматы,кроссовер,2,автомат,227000,полный привод,слева,синий металлик,Да
Toyota,Alphard,8500000,2007,Алматы,минивэн,3,автомат,270000,полный привод,справа,черный,Да
Honda,e:NS1,10600000,2023,Алматы,кроссовер,,автомат,,передний привод,слева,белый,Да
Toyota,Estima Lucida,2218000,1993,Алматы,минивэн,2.2,автомат,220000,полный привод,справа,серебристый металлик,Да
Lexus,LX 570,21350000,2008,Алматы,внедорожник,5.7,автомат,215234,полный привод,слева,белый металлик,Да
Mercedes-Benz,G 500,7900000,2000,Алматы,внедорожник,5,автомат,330000,полный привод,слева,черный металлик,Да
Honda,Odyssey,16500000,2018,Алматы,минивэн,3.5,автомат,,передний привод,слева,белый,Да
Toyota,Yaris,4400000,2006,Алматы,хэтчбек,1.3,автомат,,передний привод,слева,голубой металлик,Да
Toyota,Land Cruiser Prado,33770000,2018,Алматы,внедорожник,4,автомат,72000,полный привод,слева,черный,Да
Nissan,Pathfinder,12950000,2014,Алматы,внедорожник,3.5,вариатор,90000,полный привод,слева,серебристый металлик,Да
Mercedes-Benz,E 500,7200000,2004,Алматы,седан,5,автомат,175000,задний привод,слева,белый,Да
Ford,Focus,4500000,2012,Алматы,седан,1.6,робот,177000,передний привод,слева,черный металлик,Да
Toyota,Camry,14400000,2018,Алматы,седан,2.5,автомат,104000,передний привод,слева,белый металлик,Да
Nissan,Patrol,14800000,2014,Алматы,внедорожник,5.6,автомат,142863,полный привод,слева,черный,Да
Subaru,Legacy,7600000,2011,Алматы,седан,2.5,вариатор,198000,полный привод,слева,черный металлик,Да
Lexus,ES 300,5900000,2002,Алматы,седан,3,автомат,,передний привод,слева,черный металлик,Да
Hyundai,Palisade,28000000,2022,Алматы,кроссовер,3.5,автомат,19000,полный привод,слева,черный металлик,Да
Land Rover,Range Rover,16500000,2011,Алматы,внедорожник,5,автомат,125000,полный привод,слева,черный металлик,Да
Mitsubishi,Outlander,4000000,2003,Алматы,кроссовер,2.4,автомат,,передний привод,слева,,Да
Land Rover,Discovery Sport,11490000,2015,Алматы,кроссовер,2,автомат,82068,полный привод,слева,белый,Да
Toyota,Camry,4900000,2003,Алматы,седан,3,автомат,,передний привод,слева,золотистый металлик,Да
Lexus,RX 350,26900000,2021,Алматы,кроссовер,3.5,автомат,8500,полный привод,слева,синий металлик,Да
Land Rover,Range Rover,30000000,2014,Алматы,внедорожник,3,автомат,112000,полный привод,слева,серый металлик,Да
Mercedes-Benz,E 280,3000000,1994,Алматы,седан,2.8,автомат,,задний привод,слева,,Да
Land Rover,Range Rover,65000000,2018,Алматы,внедорожник,5,автомат,47906,полный привод,слева,серый металлик,Да
Mercedes-Benz,S 320,5500000,1996,Алматы,седан,3.2,автомат,290000,задний привод,слева,серебристый металлик,Да
Mitsubishi,Pajero,2300000,1994,Алматы,внедорожник,2.8,автомат,324648,полный привод,справа,синий,Да
Subaru,Legacy,2350000,1995,Алматы,универсал,2.5,автомат,,полный привод,справа,черный,Да
Nissan,X-Trail,12500000,2017,Алматы,кроссовер,2.5,вариатор,115000,полный привод,слева,серебристый металлик,Да
Kia,Sorento,22700000,2022,Алматы,кроссовер,2.5,автомат,9000,полный привод,слева,,Да
ЗАЗ,Chance,1119999,2011,Алматы,седан,1.5,механика,251000,передний привод,слева,,Да
Toyota,Windom,4800000,2002,Алматы,седан,3,автомат,,передний привод,справа,черный металлик,Да
Toyota,Camry,2900000,1999,Алматы,седан,3,автомат,,передний привод,слева,золотистый,Да
Audi,Q7,8600000,2007,Алматы,кроссовер,3.6,автомат,,полный привод,слева,серебристый металлик,Да
Kia,K3,9999999,2021,Алматы,седан,1.6,вариатор,40000,передний привод,слева,белый,Да
BMW,X5,9000000,2008,Алматы,кроссовер,3,автомат,220000,полный привод,слева,черный металлик,Да
Toyota,Camry,6750000,2004,Алматы,седан,2.4,автомат,,передний привод,слева,серебристый,Да
Toyota,Camry,2250000,1993,Алматы,универсал,2.2,механика,111111,передний привод,слева,,Да
BMW,525,3500000,1993,Алматы,седан,2.5,механика,,задний привод,слева,черный металлик,Да
Volkswagen,Passat,6800000,2016,Алматы,седан,1.8,автомат,114000,передний привод,слева,черный металлик,Да
Toyota,Corolla,4200000,2007,Алматы,седан,1.6,автомат,440000,передний привод,слева,белый металлик,Да
Hyundai,Accent,6300000,2015,Алматы,седан,1.6,автомат,146000,передний привод,слева,белый,Да
Nissan,Cefiro,2500000,1997,Алматы,седан,2.5,автомат,,передний привод,слева,серебристый металлик,Да
Skoda,Rapid,8950000,2020,Алматы,лифтбек,1.6,автомат,43000,передний привод,слева,коричневый металлик,Да
Chevrolet,Cobalt,7390000,2023,Алматы,седан,1.5,автомат,,передний привод,слева,серый металлик,Да
Mercedes-Benz,V 250,41500000,2015,Алматы,минивэн,2.1,автомат,37000,задний привод,слева,черный,Да
BMW,320,3000000,1990,Алматы,седан,2,автомат,,задний привод,слева,серый металлик,Да
Subaru,Legacy,2500000,1994,Алматы,седан,2,автомат,,полный привод,справа,,Да
BMW,525,2500000,1991,Алматы,седан,2.5,механика,382583,задний привод,слева,белый металлик,Да
Zeekr,X,15400000,2023,Алматы,кроссовер,,автомат,200,полный привод,слева,бирюзовый металлик,Да
Daewoo,Damas,1950000,2006,Алматы,минивэн,0.8,механика,3000,задний привод,слева,белый,Да
Mercedes-Benz,E 200,12000000,2014,Алматы,седан,2,автомат,62000,задний привод,слева,черный,Да
Subaru,Forester,5300000,2004,Алматы,кроссовер,2.5,автомат,328032,полный привод,слева,,Да
Mitsubishi,Galant,1000000,1994,Алматы,седан,2,механика,,передний привод,слева,серебристый,Да
Infiniti,QX80,23500000,2018,Алматы,внедорожник,5.6,автомат,123000,полный привод,слева,белый,Да
Subaru,Legacy,1080000,1995,Алматы,универсал,2.2,механика,,полный привод,слева,красный металлик,Да
Mercedes-Benz,E 230,1250000,1991,Алматы,седан,2.3,механика,,задний привод,слева,,Да
Subaru,Legacy,5500000,2004,Алматы,седан,2.5,автомат,,полный привод,слева,,Да
Toyota,Land Cruiser Prado,15800000,2010,Алматы,внедорожник,2.7,автомат,150000,полный привод,слева,белый металлик,Да
Geely,Monjaro,13356000,2023,Алматы,кроссовер,2,автомат,,полный привод,слева,синий металлик,Нет
BMW,X7,57700000,2023,Алматы,кроссовер,3,автомат,,полный привод,слева,черный металлик,Да
Hyundai,Sonata,7300000,2012,Алматы,седан,2.4,автомат,112,передний привод,слева,черный,Да
ВАЗ (Lada),Granta 2191 (лифтбек),6090000,2023,Алматы,лифтбек,1.6,механика,,передний привод,слева,,Да
Renault,Arkana,13490000,2021,Алматы,кроссовер,1.3,вариатор,,полный привод,слева,,Да
Hyundai,Accent,8600000,2021,Алматы,седан,1.6,автомат,20000,передний привод,слева,черный металлик,Да
JAC,T6,15090000,2023,Алматы,пикап,2,механика,22,полный привод,слева,,Да
Hyundai,Elantra,12000000,2022,Алматы,седан,1.6,автомат,25000,передний привод,слева,серый металлик,Да
Lexus,RX 350,13200000,2009,Алматы,кроссовер,3.5,автомат,,полный привод,слева,черный металлик,Да
Chevrolet,Equinox,14800000,2021,Алматы,кроссовер,2,автомат,16900,полный привод,слева,черный,Да
Subaru,Outback,9000000,2010,Алматы,универсал,3.6,автомат,318384,полный привод,слева,серый,Да
BMW,X6,58500000,2022,Алматы,кроссовер,3,автомат,8000,полный привод,слева,белый металлик,Да
Hyundai,Sonata,10000000,2023,Алматы,седан,2.5,автомат,,передний привод,слева,,Нет
Toyota,Land Cruiser,25500000,2014,Алматы,внедорожник,4.6,автомат,151000,полный привод,слева,серый металлик,Да
Hyundai,Avante,4500000,2010,Алматы,седан,1.6,автомат,180000,передний привод,слева,белый,Да
Porsche,Panamera,21000000,2011,Алматы,лифтбек,4.8,робот,35000,полный привод,слева,черный металлик,Да
Volvo,C30,4500000,2008,Алматы,хэтчбек,1.6,механика,130000,передний привод,слева,синий,Да
Nissan,Juke,6250000,2012,Алматы,кроссовер,1.6,вариатор,58000,передний привод,слева,бордовый,Да
BMW,X5,10900000,2010,Алматы,кроссовер,3,автомат,194000,полный привод,слева,белый металлик,Да
Mercedes-Benz,G 500,76841600,2022,Алматы,внедорожник,4,автомат,2250,полный привод,слева,,Нет
Honda,e:NS1,12290000,2022,Алматы,кроссовер,,автомат,,передний привод,слева,белый металлик,Да
Hyundai,Santa Fe,18800000,2021,Алматы,кроссовер,2.5,автомат,16000,передний привод,слева,белый,Да
Zeekr,001,23900000,2023,Алматы,лифтбек,,автомат,250,полный привод,слева,оранжевый,Да
Mitsubishi,Space Wagon,1300000,1993,Алматы,минивэн,2,механика,300000,передний привод,слева,белый,Да
Tesla,Model Y,30000000,2023,Алматы,кроссовер,,автомат,,полный привод,слева,белый металлик,Да
Toyota,Camry,17500000,2021,Алматы,седан,2.5,автомат,59800,передний привод,слева,синий,Да
BYD,Song,16000000,2023,Алматы,кроссовер,,автомат,35,передний привод,слева,черный,Да
Toyota,Highlander,18500000,2015,Алматы,кроссовер,3.5,автомат,180000,полный привод,слева,белый металлик,Да
Subaru,Forester,4400000,2003,Алматы,кроссовер,2.5,автомат,318000,полный привод,слева,серебристый,Да
Chevrolet,Traverse,22000000,2021,Алматы,кроссовер,3.6,автомат,43000,полный привод,слева,черный металлик,Да
Hyundai,Sonata,13980000,2021,Алматы,седан,2.5,автомат,48000,передний привод,слева,белый металлик,Да
Mitsubishi,Pajero,5700000,1996,Алматы,внедорожник,4.3,автомат,,полный привод,справа,синий металлик,Да
Mitsubishi,L200,13900000,2023,Алматы,пикап,2.4,механика,10,полный привод,слева,серебристый,Да
Chevrolet,Cobalt,7500000,2022,Алматы,седан,1.5,автомат,9000,передний привод,слева,черный металлик,Да
Haval,Jolion,11000000,2021,Алматы,кроссовер,1.5,робот,32000,передний привод,слева,черный,Да
Geely,Tugella,16290000,2023,Алматы,кроссовер,2,автомат,,полный привод,слева,серый,Да
BMW,X6,13000000,2011,Алматы,кроссовер,3.5,автомат,146000,полный привод,слева,белый,Да
Geely,Vision X3 Pro,7600000,2022,Алматы,кроссовер,1.5,вариатор,6000,передний привод,слева,красный,Да
BMW,530,22000000,2020,Алматы,седан,2,автомат,30000,задний привод,слева,белый металлик,Да
Volkswagen,Scirocco,6300000,2010,Алматы,хэтчбек,1.4,робот,107000,передний привод,слева,белый,Да
Mercedes-Benz,E 260,1400000,1990,Алматы,седан,2.6,автомат,178000,задний привод,слева,серебристый металлик,Да
Toyota,RAV 4,6400000,2006,Алматы,кроссовер,2,механика,,полный привод,слева,зеленый,Да
Kia,Sorento,18300000,2022,Алматы,кроссовер,2.5,автомат,50000,полный привод,слева,серый металлик,Да
Li,L7,26400000,2023,Алматы,кроссовер,1.5,автомат,,полный привод,слева,,Да
Mercedes-Benz,GLE 300,23700000,2016,Алматы,кроссовер,3.5,автомат,115000,полный привод,слева,синий металлик,Да
Volkswagen,Passat,20250000,2022,Алматы,универсал,2,робот,1,полный привод,слева,зеленый металлик,Да
Toyota,Camry,12300000,2016,Алматы,седан,2.5,автомат,112500,передний привод,слева,белый,Да
Toyota,Camry,15500000,2022,Алматы,седан,2.5,автомат,45000,передний привод,слева,черный,Да
Weltmeister,W6,12000000,2022,Алматы,кроссовер,,автомат,715,передний привод,слева,,Да
BMW,X1,11000000,2014,Алматы,кроссовер,2,автомат,99000,полный привод,слева,белый,Да
BMW,530,5900000,2005,Алматы,седан,3,автомат,,задний привод,слева,синий металлик,Да
Zeekr,X,17500000,2023,Алматы,кроссовер,,автомат,,полный привод,слева,серый,Да
Lexus,GS 350,6700000,2008,Алматы,седан,3.5,автомат,200000,полный привод,слева,белый,Да
ВАЗ (Lada),Granta 2190 (седан),5790000,2023,Алматы,седан,1.6,механика,,передний привод,слева,,Да
Kia,Carnival,2700000,2002,Алматы,минивэн,2.9,автомат,260,передний привод,слева,синий,Да
Mitsubishi,Galant,3600000,2005,Алматы,седан,2.4,автомат,,передний привод,слева,бежевый металлик,Да
ВАЗ (Lada),Priora 2172 (хэтчбек),2450000,2013,Алматы,хэтчбек,1.6,механика,,передний привод,слева,серебристый,Да
Volkswagen,Golf,1400000,1994,Алматы,хэтчбек,1.8,автомат,,передний привод,слева,синий металлик,Да
Nissan,Frontier,3300000,2005,Алматы,пикап,2.4,механика,7777,полный привод,слева,белый металлик,Да
Toyota,RAV 4,13200000,2018,Алматы,кроссовер,2.5,автомат,97000,передний привод,слева,белый металлик,Да
Infiniti,FX35,6500000,2006,Алматы,кроссовер,3.5,автомат,313158,полный привод,слева,серый металлик,Да
Kia,K5,9800000,2019,Алматы,седан,2,автомат,83000,передний привод,слева,белый,Да
Mercedes-Benz,S 500,9000000,2010,Алматы,седан,5.5,автомат,248000,задний привод,слева,черный,Да
Toyota,Yaris,2000000,2004,Алматы,хэтчбек,1,механика,,передний привод,слева,,Да
Volkswagen,ID.4,10500000,2023,Алматы,кроссовер,,автомат,2,задний привод,слева,,Нет
Hyundai,Elantra,12750000,2023,Алматы,седан,2,автомат,2223,передний привод,слева,серебристый металлик,Да
Kia,Magentis,2200000,2003,Алматы,седан,2,механика,359000,передний привод,слева,черный,Да
Audi,A6,20770500,2022,Алматы,седан,2,робот,6876,полный привод,слева,,Нет
Toyota,Camry,14500000,2020,Алматы,седан,2.5,автомат,38000,передний привод,слева,черный металлик,Да
Nissan,Pathfinder,3700000,1998,Алматы,внедорожник,3.3,автомат,230000,полный привод,слева,жёлтый металлик,Да
Hyundai,Tucson,15285500,2023,Алматы,кроссовер,2.5,автомат,7,полный привод,слева,синий,Да
Daewoo,Leganza,650000,1999,Алматы,седан,1.8,механика,,передний привод,слева,серый,Да
Hyundai,Palisade,30000000,2021,Алматы,кроссовер,3.8,автомат,18500,полный привод,слева,черный,Да
Toyota,Camry,9300000,2013,Алматы,седан,2.5,автомат,137000,передний привод,слева,черный металлик,Да
Toyota,Camry,3000000,1997,Алматы,седан,2.2,автомат,300,передний привод,слева,,Да
Toyota,Camry,16500000,2021,Алматы,седан,2.5,автомат,23244,передний привод,слева,серебристый,Да
Mitsubishi,Outlander,8000000,2012,Алматы,кроссовер,2,вариатор,165000,полный привод,слева,,Да
Toyota,Camry,9700000,2014,Алматы,седан,2.5,автомат,,передний привод,слева,,Да
SsangYong,Korando,1650000,2001,Алматы,внедорожник,2.3,автомат,,полный привод,слева,,Да
Jeep,Wrangler,35000000,2018,Алматы,внедорожник,3.6,автомат,35000,полный привод,слева,,Да
Mercedes-Benz,GL 550,16190000,2012,Алматы,внедорожник,4.7,автомат,135550,полный привод,слева,черный,Да
Mitsubishi,Pajero,1250000,1994,Алматы,внедорожник,2.8,автомат,,полный привод,справа,белый,Да
Hyundai,Elantra,13200000,2023,Алматы,седан,2,автомат,7770,передний привод,слева,серый металлик,Да
Nissan,X-Trail,9300000,2013,Алматы,кроссовер,2.5,вариатор,74000,полный привод,слева,белый,Да
Volkswagen,Teramont,18000000,2020,Алматы,кроссовер,2,автомат,49000,передний привод,слева,синий металлик,Да
Toyota,Grand Hiace,10000000,2001,Алматы,минивэн,3.4,автомат,127000,полный привод,справа,белый металлик,Да
Mazda,CX-7,5300000,2010,Алматы,кроссовер,2.3,автомат,,полный привод,слева,черный,Да
ВАЗ (Lada),2109 (хэтчбек),1200000,2004,Алматы,хэтчбек,1.6,механика,,передний привод,слева,зеленый металлик,Да
Nissan,Patrol,8800000,1998,Алматы,внедорожник,4.5,механика,300000,полный привод,слева,,Да
Toyota,Camry,10300000,2016,Алматы,седан,2.5,автомат,,передний привод,слева,черный металлик,Да
Daewoo,Nexia,2100000,2012,Алматы,седан,1.5,механика,,передний привод,слева,,Да
