Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
ВАЗ (Lada),21099 (седан),1000000,1996,Алтай,седан,1.6,механика,111111,передний привод,слева,бордовый,Да
Subaru,Outback,6500000,2011,Усть-Каменогорск,универсал,2.5,вариатор,273360,полный привод,слева,голубой,Да
Toyota,RAV 4,13400000,2017,Усть-Каменогорск,кроссовер,2,вариатор,80000,полный привод,слева,белый металлик,Да
Audi,A4,1550000,1995,Усть-Каменогорск,седан,1.8,механика,520000,передний привод,слева,черный,Да
Toyota,Camry,2000000,1993,Зайсан,седан,2.2,автомат,500,передний привод,справа,голубой металлик,Да
ВАЗ (Lada),2114 (хэтчбек),1750000,2013,Усть-Каменогорск,хэтчбек,1.6,механика,237000,передний привод,слева,черный,Да
Hyundai,Accent,5600000,2012,Глубокое,седан,1.6,автомат,178000,передний привод,слева,белый,Да
Audi,100,2000000,1992,Усть-Каменогорск,седан,2.8,механика,,полный привод,слева,серебристый металлик,Да
Mercedes-Benz,190,1300000,1992,Зайсан,седан,2,механика,,задний привод,слева,черный металлик,Да
FAW,1021,1000000,2002,Усть-Каменогорск,пикап,0.8,механика,52525,задний привод,слева,белый,Да
Hyundai,Tucson,11300000,2017,Усть-Каменогорск,кроссовер,2,автомат,88000,полный привод,слева,белый металлик,Да
Mitsubishi,ASX,7100000,2013,Алтай,кроссовер,2,вариатор,125000,полный привод,слева,серебристый,Да
Toyota,Nadia,3600000,1999,Усть-Каменогорск,минивэн,2,автомат,,передний привод,справа,белый,Да
Mitsubishi,Delica,4500000,1995,Усть-Каменогорск,минивэн,2.8,автомат,273000,полный привод,справа,синий,Да
BMW,525,1600000,1991,Усть-Каменогорск,седан,2.5,механика,,задний привод,слева,серый металлик,Да
Chevrolet,Lacetti,4000000,2012,Риддер,хэтчбек,1.6,механика,120000,передний привод,слева,красный металлик,Да
Honda,Saber,1950000,1996,Усть-Каменогорск,седан,2.5,автомат,,передний привод,справа,серебристый металлик,Да
ВАЗ (Lada),Priora 2170 (седан),3100000,2014,Усть-Каменогорск,седан,1.6,механика,120000,передний привод,слева,серебристый металлик,Да
ВАЗ (Lada),2114 (хэтчбек),1700000,2012,Усть-Каменогорск,хэтчбек,1.6,механика,,передний привод,слева,серебристый металлик,Да
Kia,Sportage,10500000,2017,Шемонаиха,кроссовер,2,автомат,90000,передний привод,слева,золотистый,Да
Toyota,Alphard,8500000,2007,Усть-Каменогорск,минивэн,3,автомат,194000,полный привод,справа,черный,Да
Nissan,Primera,800000,1991,Усть-Каменогорск,универсал,2,механика,,передний привод,слева,вишня,Да
Toyota,Ipsum,7555555,2006,Усть-Каменогорск,минивэн,2.4,автомат,160000,передний привод,справа,белый,Да
ВАЗ (Lada),2104,800000,2001,Усть-Каменогорск,универсал,1.7,механика,250000,задний привод,слева,вишня,Да
Toyota,Curren,2300000,1997,Усть-Каменогорск,купе,2,автомат,300000,передний привод,справа,серый металлик,Да
Kia,Sportage,10500000,2017,Усть-Каменогорск,кроссовер,2,автомат,90000,передний привод,слева,золотистый,Да
ВАЗ (Lada),2110 (седан),1200000,2006,Усть-Каменогорск,седан,1.6,механика,229583,передний привод,слева,серебристый металлик,Да
ВАЗ (Lada),Granta 2190 (седан),4350000,2019,Усть-Каменогорск,седан,1.6,механика,,передний привод,слева,белый,Да
ВАЗ (Lada),2106,1800000,1989,Усть-Каменогорск,седан,1.7,механика,2000,задний привод,слева,белый,Да
ВАЗ (Lada),Vesta SW,5500000,2019,Усть-Каменогорск,универсал,1.6,механика,180000,передний привод,слева,черный металлик,Да
Toyota,Highlander,18200000,2014,Усть-Каменогорск,кроссовер,3.5,автомат,107000,полный привод,слева,серый металлик,Да
Toyota,Land Cruiser Prado,6800000,1997,Усть-Каменогорск,внедорожник,,,,,слева,белый металлик,Да
Subaru,Outback,8500000,2015,Усть-Каменогорск,универсал,2.5,вариатор,150000,полный привод,слева,зеленый металлик,Да
Lexus,RX 300,5100000,2000,Усть-Каменогорск,кроссовер,3,автомат,,передний привод,слева,черный,Да
Volkswagen,Passat,980000,1991,Усть-Каменогорск,универсал,1.8,механика,,передний привод,слева,красный,Да
ВАЗ (Lada),2105,300000,1991,Зайсан,седан,1.5,механика,180000,задний привод,слева,голубой металлик,Да
Mercedes-Benz,C 180,3600000,2001,Усть-Каменогорск,седан,2,механика,270000,задний привод,слева,фиолетовый,Да
Toyota,Aristo,5800000,1999,Усть-Каменогорск,седан,3,автомат,261000,задний привод,справа,белый,Да
Nissan,Almera,4800000,2015,Усть-Каменогорск,седан,1.6,механика,115000,передний привод,слева,серебристый,Да
Toyota,Camry,11000000,2014,Усть-Каменогорск,седан,2.5,автомат,111800,передний привод,слева,белый,Да
Hyundai,Sonata,18200000,2021,Усть-Каменогорск,седан,2.5,робот,45000,передний привод,слева,белый,Да
Subaru,Legacy,2000000,1996,Алтай,универсал,2,автомат,,полный привод,справа,синий металлик,Да
ВАЗ (Lada),2121 Нива,2100000,2015,Шемонаиха,внедорожник,1.7,механика,63000,полный привод,слева,белый,Да
ВАЗ (Lada),Vesta SW Cross,6350000,2019,Усть-Каменогорск,универсал,1.8,механика,138000,передний привод,слева,серый,Да
Lexus,LX 570,30000000,2013,Усть-Каменогорск,внедорожник,5.7,автомат,,полный привод,слева,,Да
ВАЗ (Lada),2106,750000,1988,Усть-Каменогорск,седан,1.3,механика,100000,задний привод,слева,зеленый,Да
Infiniti,FX35,5300000,2004,Усть-Каменогорск,кроссовер,3.5,автомат,260000,полный привод,слева,черный,Да
Mazda,Capella,600000,1999,Усть-Каменогорск,универсал,2,автомат,,передний привод,справа,,Нет
Toyota,Spacio,3500000,1998,Усть-Каменогорск,минивэн,1.6,автомат,111111,передний привод,справа,серый металлик,Да
ГАЗ,ГАЗель,3500000,2003,Усть-Каменогорск,фургон,2.9,механика,,задний привод,слева,белый,Да
ВАЗ (Lada),Priora 2170 (седан),2800000,2012,Усть-Каменогорск,седан,1.6,механика,,передний привод,слева,черный,Да
ВАЗ (Lada),Vesta SW Cross,7600000,2021,Усть-Каменогорск,универсал,1.6,механика,29000,передний привод,слева,белый,Да
Nissan,X-Trail,3300000,2003,Усть-Каменогорск,кроссовер,2.2,механика,,полный привод,слева,серый,Да
Volkswagen,Passat,1500000,1991,Усть-Каменогорск,универсал,1.8,механика,420000,передний привод,слева,красный металлик,Да
Hyundai,Accent,6037463,2015,Усть-Каменогорск,седан,1.6,автомат,185000,передний привод,слева,бежевый,Да
Chevrolet,Lacetti,3700000,2008,Усть-Каменогорск,седан,1.8,автомат,150000,передний привод,слева,золотистый,Да
ВАЗ (Lada),2106,750000,1991,Усть-Каменогорск,седан,1.5,механика,,задний привод,слева,,Да
Hyundai,Accent,8900000,2021,Усть-Каменогорск,седан,1.6,автомат,59000,передний привод,слева,белый металлик,Да
Toyota,Highlander,14500000,2011,Усть-Каменогорск,кроссовер,3.5,автомат,172000,полный привод,слева,белый металлик,Да
Volkswagen,Passat,2700000,2001,Алтай,седан,1.8,автомат,,передний привод,слева,серый металлик,Да
ВАЗ (Lada),Priora 2172 (хэтчбек),2800000,2012,Усть-Каменогорск,хэтчбек,1.6,механика,199000,передний привод,слева,серый металлик,Да
Volkswagen,Golf,3200000,2000,Усть-Каменогорск,универсал,1.6,механика,,передний привод,слева,синий металлик,Да
Toyota,Land Cruiser Prado,9900000,2006,Усть-Каменогорск,внедорожник,2.7,автомат,232000,полный привод,слева,белый металлик,Да
Lexus,LX 570,31000000,2013,Усть-Каменогорск,внедорожник,5.7,автомат,147000,полный привод,слева,серый,Да
Toyota,RAV 4,17900000,2021,Усть-Каменогорск,кроссовер,2,вариатор,19300,полный привод,слева,белый металлик,Да
Toyota,Vista,2000000,1995,Усть-Каменогорск,седан,2,автомат,,полный привод,справа,бронза металлик,Да
ВАЗ (Lada),Kalina 2192 (хэтчбек),2900000,2014,Усть-Каменогорск,хэтчбек,1.6,механика,158000,передний привод,слева,,Да
BMW,X6,14400000,2012,Усть-Каменогорск,кроссовер,3,автомат,104000,полный привод,слева,белый,Да
Nissan,Patrol,18000000,2013,Усть-Каменогорск,внедорожник,5.6,автомат,,полный привод,слева,черный металлик,Да
Toyota,Land Cruiser Prado,16200000,2007,Усть-Каменогорск,внедорожник,4,автомат,250000,полный привод,слева,черный металлик,Да
Nissan,Note,3700000,2005,Усть-Каменогорск,хэтчбек,1.5,вариатор,270000,передний привод,справа,зеленый металлик,Да
Nissan,Murano,4500000,2004,Усть-Каменогорск,кроссовер,3.5,вариатор,270000,полный привод,слева,черный,Да
Kia,Rio,8000000,2018,Усть-Каменогорск,седан,1.6,автомат,78000,передний привод,слева,серый металлик,Да
Volkswagen,Golf,1550000,1993,Усть-Каменогорск,хэтчбек,1.8,автомат,270000,передний привод,слева,фиолетовый,Да
ВАЗ (Lada),Granta 2191 (лифтбек),5600000,2021,Усть-Каменогорск,лифтбек,1.6,автомат,1600,передний привод,слева,белый,Да
Volkswagen,Vento,1200000,1993,Усть-Каменогорск,седан,1.8,механика,,передний привод,слева,красный,Да
ВАЗ (Lada),Priora 2172 (хэтчбек),2200000,2012,Усть-Каменогорск,хэтчбек,1.6,механика,,передний привод,слева,черный металлик,Да
ВАЗ (Lada),2114 (хэтчбек),1550000,2008,Усть-Каменогорск,хэтчбек,1.5,механика,236352,передний привод,слева,черный металлик,Да
Mitsubishi,Diamante,2000000,2000,Усть-Каменогорск,седан,2.5,автомат,237000,передний привод,справа,золотистый металлик,Да
Nissan,X-Trail,9500000,2013,Усть-Каменогорск,кроссовер,2.5,вариатор,122000,полный привод,слева,серебристый металлик,Да
ВАЗ (Lada),Vesta,5500000,2019,Усть-Каменогорск,седан,1.6,механика,70000,передний привод,слева,белый,Да
Hyundai,Elantra,11500000,2023,Усть-Каменогорск,седан,1.6,автомат,7,передний привод,слева,белый,Да
Lexus,RX 300,6500000,2002,Усть-Каменогорск,кроссовер,3,автомат,,полный привод,слева,серый металлик,Да
