Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
Nissan,Sunny,6990000,2021,Алматы,седан,1.5,автомат,3861,передний привод,слева,белый,Да
Lexus,ES 250,32500000,2022,Алматы,седан,2.5,автомат,12500,передний привод,слева,серый,Да
Toyota,Camry,12500000,2016,Алматы,седан,2.5,автомат,120000,передний привод,слева,,Да
Mercedes-Benz,E 230,1450000,1990,Алматы,седан,2.3,автомат,246000,задний привод,слева,,Да
Toyota,Land Cruiser Prado,34500000,2018,Алматы,внедорожник,4,автомат,99000,полный привод,слева,,Да
Audi,RS 6,30000000,2013,Алматы,универсал,4,автомат,90000,полный привод,слева,синий металлик,Да
Mercedes-Benz,S 320,4500000,1998,Алматы,седан,3.2,автомат,380000,задний привод,слева,синий металлик,Да
Nissan,Qashqai,5400000,2008,Алматы,кроссовер,2,автомат,142816,полный привод,слева,красный,Да
ГАЗ,ГАЗель,3200000,2003,Алматы,пикап,2.9,механика,120000,задний привод,слева,белый,Да
BMW,525,5000000,2001,Алматы,седан,2.5,автомат,,задний привод,слева,черный металлик,Да
BMW,530,17100000,2017,Алматы,седан,2,автомат,115478,полный привод,слева,белый,Да
ГАЗ,ГАЗель,9300000,2007,Алматы,фургон,3.4,автомат,,задний привод,слева,белый металлик,Да
Nissan,Patrol,8500000,1998,Алматы,внедорожник,4.5,автомат,,полный привод,слева,черный,Да
Toyota,Carina E,1800000,1994,Алматы,седан,1.6,механика,,передний привод,слева,зеленый,Да
Hyundai,Elantra,8350000,2018,Алматы,седан,1.6,автомат,125424,передний привод,слева,белый,Да
Kia,Sportage,16800000,2021,Алматы,кроссовер,1.6,робот,11500,передний привод,слева,белый,Да
ВАЗ (Lada),Priora 2171 (универсал),2000000,2013,Алматы,универсал,1.6,механика,252000,передний привод,слева,серебристый,Да
Toyota,Land Cruiser Prado,30000000,2018,Алматы,внедорожник,4,автомат,100000,полный привод,слева,черный металлик,Да
Daewoo,Nexia,1900000,2008,Алматы,седан,1.6,механика,,передний привод,слева,золотистый металлик,Да
BMW,525,1000000,1989,Алматы,седан,2.5,механика,,задний привод,слева,красный,Да
Toyota,Estima,8100000,2008,Алматы,минивэн,3.5,автомат,142000,полный привод,справа,серебристый металлик,Да
Honda,CR-V,2900000,1996,Алматы,кроссовер,2,автомат,,полный привод,справа,серебристый металлик,Да
Hyundai,Porter,11000000,2019,Алматы,пикап,2.5,автомат,178000,задний привод,слева,белый,Да
Mercedes-Benz,E 350,9000000,2010,Алматы,седан,3.5,автомат,190500,полный привод,слева,черный,Да
Kia,Optima,8000000,2017,Алматы,седан,2.4,автомат,133547,передний привод,слева,белый,Нет
Honda,Accord,2800000,1998,Алматы,седан,2,автомат,123500,передний привод,справа,белый металлик,Да
Mitsubishi,Delica,8900000,2007,Алматы,минивэн,2.4,вариатор,120000,полный привод,справа,белый,Да
Hongqi,E-HS9,58000000,2020,Алматы,кроссовер,,автомат,1500,передний привод,слева,,Да
Mitsubishi,Galant,500000,1991,Алматы,хэтчбек,1.8,механика,,передний привод,слева,,Да
Hyundai,Creta,9390000,2018,Алматы,кроссовер,1.6,автомат,58942,передний привод,слева,серый,Да
Renault,Master,11250000,2020,Алматы,фургон,2.3,механика,175577,передний привод,слева,белый,Да
Hyundai,Santa Fe,15700000,2020,Алматы,кроссовер,2,автомат,72000,передний привод,слева,белый,Да
ВАЗ (Lada),2109 (хэтчбек),688030,1992,Алматы,хэтчбек,1.5,механика,,передний привод,слева,зеленый,Да
