Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
Nissan,Teana,3700000,2006,Астана,седан,2.3,автомат,300000,передний привод,слева,жёлтый,Да
Nissan,Teana,3500000,2006,Астана,седан,2.3,автомат,230000,передний привод,слева,,Да
Toyota,Mark II,2300000,1995,Астана,седан,2,автомат,,задний привод,справа,,Да
Lexus,NX 300h,14000000,2014,Астана,кроссовер,2.5,вариатор,190000,полный привод,слева,белый,Да
Toyota,Mark II Qualis,3500000,1998,Астана,универсал,2.2,автомат,,передний привод,справа,белый металлик,Да
Hyundai,Santa Fe,18500000,2023,Астана,кроссовер,2.5,автомат,4000,полный привод,слева,,Да
Mercedes-Benz,S 580,51300000,2021,Астана,седан,4,автомат,45700,полный привод,слева,,Нет
Toyota,Camry,15000000,2021,Астана,седан,2.5,автомат,20000,передний привод,слева,черный,Да
Mercedes-Benz,S 350,12000000,2003,Астана,седан,3.7,автомат,300000,задний привод,слева,,Да
Lexus,GS 350,33000000,2018,Астана,седан,3.5,автомат,62000,полный привод,слева,серебристый металлик,Да
ГАЗ,ГАЗель,4500000,2008,Астана,пикап,2.9,механика,,задний привод,слева,белый металлик,Да
Toyota,Camry,6500000,2007,Астана,седан,2.4,вариатор,210000,передний привод,слева,серый металлик,Да
Toyota,Camry,10000000,2012,Астана,седан,2.5,автомат,200000,передний привод,слева,белый металлик,Да
Kia,Picanto,8888888,2022,Астана,хэтчбек,1,автомат,500,передний привод,слева,черный,Да
Toyota,Camry,16500000,2020,Астана,седан,2.5,автомат,90000,передний привод,слева,белый металлик,Да
Kia,Sorento,8800000,2013,Астана,кроссовер,2.4,автомат,200000,полный привод,слева,коричневый металлик,Да
Hyundai,Tucson,15000000,2022,Астана,кроссовер,2,автомат,22000,полный привод,слева,бронза металлик,Да
Lexus,RX 300,25200000,2018,Астана,кроссовер,2,автомат,52000,полный привод,слева,,Да
Hyundai,Palisade,27500000,2021,Астана,кроссовер,3.8,автомат,29000,полный привод,слева,зеленый металлик,Да
Kia,Sorento,22000000,2023,Астана,кроссовер,2.5,автомат,2500,полный привод,слева,серый,Да
Toyota,Camry,9800000,2014,Астана,седан,2.5,автомат,257280,передний привод,слева,синий металлик,Да
Hyundai,Staria,24000000,2022,Астана,минивэн,3.5,автомат,21000,передний привод,слева,черный,Да
Chevrolet,Equinox,15000000,2021,Астана,кроссовер,2,автомат,33000,полный привод,слева,черный металлик,Да
Subaru,Forester,5800000,2012,Степногорск,кроссовер,2.5,автомат,200,полный привод,слева,белый,Нет
Toyota,Highlander,24999000,2020,Астана,кроссовер,3.5,автомат,63000,полный привод,слева,синий металлик,Да
BMW,X5,59500000,2023,Астана,кроссовер,3,автомат,7800,полный привод,слева,черный,Да
Chery,Tiggo 7 Pro Max,12900000,2023,Астана,внедорожник,1.6,робот,10,передний привод,слева,белый металлик,Да
Nissan,Xterra,8800000,2011,Астана,внедорожник,4,автомат,188000,полный привод,слева,,Нет
Nissan,Patrol,11500000,2011,Астана,внедорожник,5.6,автомат,,полный привод,слева,белый,Да
ВАЗ (Lada),Priora 2170 (седан),2300000,2013,Астана,седан,1.6,механика,257000,передний привод,слева,черный,Да
Kia,Sorento,8200000,2011,Астана,кроссовер,2.4,автомат,202000,полный привод,слева,белый металлик,Да
ВАЗ (Lada),Priora 2170 (седан),3500000,2014,Астана,седан,1.6,механика,,передний привод,слева,,Да
ВАЗ (Lada),2114 (хэтчбек),570000,2014,Астана,хэтчбек,1.6,механика,,передний привод,слева,,Да
BMW,325,2000000,1994,Кокшетау,седан,2.5,автомат,,задний привод,слева,черный,Да
Hyundai,Santa Fe,3100000,2002,Кокшетау,кроссовер,2,механика,,передний привод,слева,,Да
Ford,Mondeo,4500000,2013,Астана,седан,2.3,автомат,777,передний привод,слева,серый металлик,Да
Kia,Sorento,10900000,2015,Астана,кроссовер,2.4,автомат,139000,полный привод,слева,серебристый металлик,Да
Kia,Optima,10200000,2019,Астана,седан,2.4,автомат,65928,передний привод,слева,белый,Да
Toyota,Crown,8000000,2012,Астана,седан,2.5,автомат,,задний привод,справа,белый металлик,Да
Hyundai,Sonata,15100000,2023,Астана,седан,2.5,автомат,9500,передний привод,слева,,Да
ВАЗ (Lada),Priora 2170 (седан),2600000,2013,Астана,седан,1.6,механика,195835,передний привод,слева,белый,Да
Nissan,X-Trail,10000000,2019,Астана,кроссовер,2,механика,150000,передний привод,слева,синий металлик,Да
Cadillac,SRX,3500000,2005,Астана,кроссовер,4.6,автомат,,полный привод,слева,черный,Да
Chevrolet,Lacetti,2100000,2006,Астана,седан,1.6,механика,,передний привод,слева,,Да
Nissan,X-Trail,9800000,2015,Астана,кроссовер,2,вариатор,168000,полный привод,слева,серый металлик,Да
Hyundai,Sonata,14000000,2020,Астана,седан,1.6,автомат,50000,передний привод,слева,синий металлик,Да
Opel,Astra,2300000,1998,Астана,универсал,1.8,механика,200000,передний привод,слева,зеленый металлик,Да
Toyota,Land Cruiser Prado,28000000,2018,Астана,внедорожник,4,автомат,107000,полный привод,слева,,Да
Toyota,Camry,15850000,2021,Астана,седан,2.5,автомат,4600,передний привод,слева,серый,Да
Toyota,Camry,13300000,2021,Астана,седан,2.5,автомат,76800,передний привод,слева,черный,Да
Audi,A7,11000000,2012,Астана,лифтбек,3,робот,140000,полный привод,слева,черный металлик,Да
Nissan,Qashqai,10000000,2015,Астана,кроссовер,2,вариатор,87000,полный привод,слева,серый металлик,Да
Chevrolet,Captiva,7800000,2014,Астана,кроссовер,3,автомат,187000,полный привод,слева,черный,Да
Mercedes-Benz,E 200,8100000,2011,Астана,седан,1.8,автомат,225000,задний привод,слева,черный металлик,Да
Kia,K7,13000000,2019,Астана,седан,3.3,автомат,122085,передний привод,слева,белый металлик,Да
BMW,X6,10000000,2010,Астана,кроссовер,3,автомат,260000,полный привод,слева,,Да
ВАЗ (Lada),2114 (хэтчбек),1200000,2011,Астана,хэтчбек,1.6,механика,107000,передний привод,слева,вишня,Да
Audi,A6,2800000,1998,Кокшетау,универсал,2.8,механика,1000,передний привод,слева,черный,Да
Toyota,Estima,8500000,2009,Астана,минивэн,2.4,вариатор,164000,передний привод,справа,черный,Да
BMW,M3,73000000,2022,Астана,седан,3,автомат,8000,полный привод,слева,,Да
Chevrolet,Express,22000000,2008,Астана,минивэн,6,автомат,142000,полный привод,слева,белый,Да
Hyundai,Elantra,11200000,2023,Астана,седан,1.6,автомат,2619,передний привод,слева,белый,Да
Opel,Vectra,1500000,1998,Астана,универсал,1.6,механика,,передний привод,слева,белый,Да
Toyota,Camry,6500000,2007,Астана,седан,2.4,автомат,337961,передний привод,слева,белый,Да
Lexus,GX 470,14000000,2007,Кокшетау,внедорожник,4.7,автомат,,полный привод,слева,черный металлик,Да
Cadillac,Escalade,77500000,2023,Астана,внедорожник,6.2,автомат,24,полный привод,слева,черный металлик,Да
Volkswagen,Transporter,30890000,2022,Астана,минивэн,2,робот,5909,полный привод,слева,серый металлик,Да
Toyota,Hilux,16000000,2017,Астана,пикап,2.8,автомат,160000,полный привод,слева,белый,Да
Toyota,Camry,8000000,2006,Астана,седан,2.4,автомат,400000,передний привод,слева,,Да
Hyundai,Accent,8700000,2020,Астана,седан,1.6,автомат,60000,передний привод,слева,коричневый металлик,Да
BMW,520,2400000,1996,Астана,универсал,2,механика,385000,задний привод,слева,зеленый,Да
Renault,Logan,2600000,2013,Астана,седан,1.6,автомат,250000,передний привод,слева,черный металлик,Да
Toyota,Land Cruiser,10800000,2005,Астана,внедорожник,4.7,автомат,330000,полный привод,слева,черный,Да
Hyundai,Santa Fe,16000000,2019,Астана,кроссовер,2.4,автомат,64000,полный привод,слева,белый металлик,Да
