Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
ГАЗ,ГАЗель,7200000,2013,Алматы,фургон,2.9,механика,,задний привод,слева,белый,Да
Hyundai,Santa Fe,20600000,2021,Алматы,кроссовер,2.5,автомат,23616,полный привод,слева,,Да
Mercedes-Benz,Sprinter,5000000,2002,Алматы,микроавтобус,2.2,механика,,задний привод,слева,,Да
Hyundai,Creta,11700000,2020,Алматы,кроссовер,2,автомат,8500,полный привод,слева,серебристый металлик,Да
Nissan,Skyline,2000000,2001,Алматы,седан,2.5,автомат,,задний привод,справа,белый металлик,Да
JAC,S3,6400000,2017,Алматы,кроссовер,1.5,вариатор,,передний привод,слева,серый,Да
Land Rover,Range Rover Sport,8500000,2008,Алматы,внедорожник,2.7,автомат,,полный привод,слева,,Да
BMW,320,4650000,2001,Алматы,универсал,2,автомат,150000,задний привод,слева,серебристый металлик,Да
Toyota,Corolla,4600000,2008,Алматы,седан,1.6,автомат,250,передний привод,слева,серебристый металлик,Да
Nissan,Safari,4000000,1996,Алматы,внедорожник,2.8,автомат,,полный привод,справа,,Да
Nissan,Maxima,1500000,1998,Алматы,седан,3,механика,270000,передний привод,слева,белый металлик,Да
Chevrolet,Monza,11171000,2023,Алматы,седан,1.5,автомат,94,передний привод,слева,белый,Да
Mitsubishi,Delica,1627859,1993,Алматы,минивэн,2.5,автомат,,полный привод,справа,черный,Да
Toyota,Camry,14500000,2017,Алматы,седан,2.5,автомат,115000,передний привод,слева,белый,Да
Toyota,Corolla,14000000,2023,Алматы,седан,1.6,вариатор,16000,передний привод,слева,черный металлик,Да
Lexus,RX 300,5400000,2003,Алматы,кроссовер,3,автомат,254978,полный привод,слева,черный металлик,Да
Toyota,Carina E,2500000,1994,Алматы,лифтбек,1.6,механика,777,передний привод,слева,бордовый металлик,Да
Toyota,Camry,2200000,1993,Алматы,седан,2.5,автомат,350000,передний привод,слева,красный металлик,Да
Kia,Rio,7900000,2020,Алматы,седан,1.6,автомат,52000,передний привод,слева,белый,Да
